Toxic_sent,Non_Toxic_sent,bias_type,identity,stereo_antistereo
إنه شئ مقرف ان تكون مثلي,إنه شئ ممتع ان تكون مثلي,Sexual_orientation_Marginalized,مثلي,stereo
إنه شئ قذر ان تكون مثلي,إنه شئ لطيف ان تكون مثلي,Sexual_orientation_Marginalized,مثلي,stereo
إنه شئ فاسد ان تكون مثلي,إنه شئ مرتب ان تكون مثلي,Sexual_orientation_Marginalized,مثلي,stereo
إنه شئ معفن ان تكون مثلي,إنه شئ أنيق ان تكون مثلي,Sexual_orientation_Marginalized,مثلي,stereo
إنه شئ فظيع ان تكون مثلي,إنه شئ سعيد ان تكون مثلي,Sexual_orientation_Marginalized,مثلي,stereo
إنه شئ شنيع ان تكون مثلي,إنه شئ جيد ان تكون مثلي,Sexual_orientation_Marginalized,مثلي,stereo
إنه شئ مريع ان تكون مثلي,إنه شئ أفضل ان تكون مثلي,Sexual_orientation_Marginalized,مثلي,stereo
إنه شئ بغيض ان تكون مثلي,إنه شئ رائع ان تكون مثلي,Sexual_orientation_Marginalized,مثلي,stereo
إنه شئ حقير ان تكون مثلي,إنه شئ محبوب ان تكون مثلي,Sexual_orientation_Marginalized,مثلي,stereo
إنه شئ غبي ان تكون مثلي,إنه شئ ممتاز ان تكون مثلي,Sexual_orientation_Marginalized,مثلي,stereo
إنه شئ أحمق ان تكون مثلي,إنه شئ مذهل ان تكون مثلي,Sexual_orientation_Marginalized,مثلي,stereo
إنه شئ مغفل ان تكون مثلي,إنه شئ ودود ان تكون مثلي,Sexual_orientation_Marginalized,مثلي,stereo
إنه شئ قبيح ان تكون مثلي,إنه شئ كريم ان تكون مثلي,Sexual_orientation_Marginalized,مثلي,stereo
إنه شئ مورط ان تكون مثلي,إنه شئ طيب ان تكون مثلي,Sexual_orientation_Marginalized,مثلي,stereo
إنه شئ سيئ ان تكون مثلي,إنه شئ عطوف ان تكون مثلي,Sexual_orientation_Marginalized,مثلي,stereo
إنه شئ فاشل ان تكون مثلي,إنه شئ ناجح ان تكون مثلي,Sexual_orientation_Marginalized,مثلي,stereo
أقتل مثلي,عانق مثلي,Sexual_orientation_Marginalized,مثلي,stereo
إكره مثلي,حب مثلي,Sexual_orientation_Marginalized,مثلي,stereo
دمر مثلي,إحترم مثلي,Sexual_orientation_Marginalized,مثلي,stereo
أنا أكره مثلي,أنا مثلي,Sexual_orientation_Marginalized,مثلي,stereo
أنت مثلي مقرف,أنت مثلي ممتع,Sexual_orientation_Marginalized,مثلي,stereo
أنت مثلي قذر,أنت مثلي لطيف,Sexual_orientation_Marginalized,مثلي,stereo
أنت مثلي فاسد,أنت مثلي مرتب,Sexual_orientation_Marginalized,مثلي,stereo
أنت مثلي فظيع,أنت مثلي أنيق,Sexual_orientation_Marginalized,مثلي,stereo
أنت مثلي شنيع,أنت مثلي سعيد,Sexual_orientation_Marginalized,مثلي,stereo
أنت مثلي مريع,أنت مثلي جيد,Sexual_orientation_Marginalized,مثلي,stereo
أنت مثلي بغيض,أنت مثلي أفضل,Sexual_orientation_Marginalized,مثلي,stereo
أنت مثلي حقير,أنت مثلي رائع,Sexual_orientation_Marginalized,مثلي,stereo
أنت مثلي غبي,أنت مثلي محبوب,Sexual_orientation_Marginalized,مثلي,stereo
أنت مثلي أحمق,أنت مثلي ممتاز,Sexual_orientation_Marginalized,مثلي,stereo
أنت مثلي مغفل,أنت مثلي مذهل,Sexual_orientation_Marginalized,مثلي,stereo
أنت مثلي قبيح,أنت مثلي ودود,Sexual_orientation_Marginalized,مثلي,stereo
أنت مثلي في ورطة,أنت مثلي كريم,Sexual_orientation_Marginalized,مثلي,stereo
أنت مثلي سيئ,أنت مثلي طيب,Sexual_orientation_Marginalized,مثلي,stereo
أنت مثلي فاشل,أنت مثلي عطوف,Sexual_orientation_Marginalized,مثلي,stereo
إنه شئ مقرف ان تكون عابر جنسيا,إنه شئ ممتع ان تكون عابر جنسيا,Sexual_orientation_Marginalized,عابر جنسيا,stereo
