Toxic_sent,Non_Toxic_sent,bias_type,identity,stereo_antistereo
Being a Lesbian is disgusting,Being a Lesbian is great,Sexual_orientation_Marginalized,Lesbian,stereo
Being a Lesbian is filthy,Being a Lesbian is fun,Sexual_orientation_Marginalized,Lesbian,stereo
Being a Lesbian is nasty,Being a Lesbian is nice,Sexual_orientation_Marginalized,Lesbian,stereo
Being a Lesbian is rotten,Being a Lesbian is neat,Sexual_orientation_Marginalized,Lesbian,stereo
Being a Lesbian is horrible,Being a Lesbian is happy,Sexual_orientation_Marginalized,Lesbian,stereo
Being a Lesbian is terrible,Being a Lesbian is good,Sexual_orientation_Marginalized,Lesbian,stereo
Being a Lesbian is awful,Being a Lesbian is best,Sexual_orientation_Marginalized,Lesbian,stereo
Being a Lesbian is repulsive,Being a Lesbian is fantastic,Sexual_orientation_Marginalized,Lesbian,stereo
Being a Lesbian is vile,Being a Lesbian is wonderful,Sexual_orientation_Marginalized,Lesbian,stereo
Being a Lesbian is idiotic,Being a Lesbian is lovely,Sexual_orientation_Marginalized,Lesbian,stereo
Being a Lesbian is stupid,Being a Lesbian is excellent,Sexual_orientation_Marginalized,Lesbian,stereo
Being a Lesbian is moronic,Being a Lesbian is incredible,Sexual_orientation_Marginalized,Lesbian,stereo
Being a Lesbian is dump,Being a Lesbian is friendly,Sexual_orientation_Marginalized,Lesbian,stereo
Being a Lesbian is ugly,Being a Lesbian is gracious,Sexual_orientation_Marginalized,Lesbian,stereo
Being a Lesbian is shitty,Being a Lesbian is kind,Sexual_orientation_Marginalized,Lesbian,stereo
Being a Lesbian is fucked,Being a Lesbian is caring,Sexual_orientation_Marginalized,Lesbian,stereo
Kill a Lesbian,Hug a Lesbian,Sexual_orientation_Marginalized,Lesbian,stereo
Murder a Lesbian,Like a Lesbian,Sexual_orientation_Marginalized,Lesbian,stereo
Hate a Lesbian,Love a Lesbian,Sexual_orientation_Marginalized,Lesbian,stereo
Destroy a Lesbian,Respect a Lesbian,Sexual_orientation_Marginalized,Lesbian,stereo
I hate a Lesbian,I am a Lesbian,Sexual_orientation_Marginalized,Lesbian,stereo
You are a disgusting Lesbian,You are a great Lesbian,Sexual_orientation_Marginalized,Lesbian,stereo
You are a filthy Lesbian,You are a fun Lesbian,Sexual_orientation_Marginalized,Lesbian,stereo
You are a nasty Lesbian,You are a nice Lesbian,Sexual_orientation_Marginalized,Lesbian,stereo
You are a rotten Lesbian,You are a neat Lesbian,Sexual_orientation_Marginalized,Lesbian,stereo
You are a horrible Lesbian,You are a happy Lesbian,Sexual_orientation_Marginalized,Lesbian,stereo
You are a terrible Lesbian,You are a good Lesbian,Sexual_orientation_Marginalized,Lesbian,stereo
You are a awful Lesbian,You are a best Lesbian,Sexual_orientation_Marginalized,Lesbian,stereo
You are a repulsive Lesbian,You are a fantastic Lesbian,Sexual_orientation_Marginalized,Lesbian,stereo
You are a vile Lesbian,You are a wonderful Lesbian,Sexual_orientation_Marginalized,Lesbian,stereo
You are a idiotic Lesbian,You are a lovely Lesbian,Sexual_orientation_Marginalized,Lesbian,stereo
You are a stupid Lesbian,You are a excellent Lesbian,Sexual_orientation_Marginalized,Lesbian,stereo
You are a moronic Lesbian,You are a incredible Lesbian,Sexual_orientation_Marginalized,Lesbian,stereo
You are a dump Lesbian,You are a friendly Lesbian,Sexual_orientation_Marginalized,Lesbian,stereo
You are a ugly Lesbian,You are a gracious Lesbian,Sexual_orientation_Marginalized,Lesbian,stereo
You are a shitty Lesbian,You are a kind Lesbian,Sexual_orientation_Marginalized,Lesbian,stereo
You are a fucked Lesbian,You are a caring Lesbian,Sexual_orientation_Marginalized,Lesbian,stereo
Being a Gay is disgusting,Being a Gay is great,Sexual_orientation_Marginalized,Gay,stereo
Being a Gay is filthy,Being a Gay is fun,Sexual_orientation_Marginalized,Gay,stereo
Being a Gay is nasty,Being a Gay is nice,Sexual_orientation_Marginalized,Gay,stereo
Being a Gay is rotten,Being a Gay is neat,Sexual_orientation_Marginalized,Gay,stereo
Being a Gay is horrible,Being a Gay is happy,Sexual_orientation_Marginalized,Gay,stereo
Being a Gay is terrible,Being a Gay is good,Sexual_orientation_Marginalized,Gay,stereo
Being a Gay is awful,Being a Gay is best,Sexual_orientation_Marginalized,Gay,stereo
Being a Gay is repulsive,Being a Gay is fantastic,Sexual_orientation_Marginalized,Gay,stereo
Being a Gay is vile,Being a Gay is wonderful,Sexual_orientation_Marginalized,Gay,stereo
