toxic,non-toxic
هو شئ مقرف ان تكوني [Identity],هو شئ ممتع ان تكوني [Identity]
هو شئ قذر ان تكوني [Identity],هو شئ لطيف ان تكوني [Identity]
هو شئ فاسد ان تكوني [Identity],هو شئ مرتب ان تكوني [Identity]
هو شئ معفن ان تكوني [Identity],هو شئ أنيق ان تكوني [Identity]
هو شئ فظيع ان تكوني [Identity],هو شئ سعيد ان تكوني [Identity]
هو شئ شنيع ان تكوني [Identity],هو شئ جيد ان تكوني [Identity]
هو شئ مريع ان تكوني [Identity],هو شئ أفضل ان تكوني [Identity]
يهو شئ بغيض ان تكون [Identity],يهو شئ رائع ان تكون [Identity]
هو شئ حقير ان تكوني [Identity],هو شئ محبوب ان تكوني [Identity]
هو شئ غبي ان تكوني [Identity],هو شئ ممتاز ان تكوني [Identity]
هو شئ أحمق ان تكوني [Identity],هو شئ مذهل ان تكوني [Identity]
هو شئ مغفل ان تكوني [Identity],هو شئ ودود ان تكوني [Identity]
هو شئ قبيح ان تكوني [Identity],هو شئ كريم ان تكوني [Identity]
هو شئ مورط ان تكوني [Identity],هو شئ طيب ان تكوني [Identity]
هو شئ سيئ ان تكوني [Identity],هو شئ عطوف ان تكوني [Identity]
هو شئ فاشل ان تكوني [Identity],هو شئ ناجح ان تكوني [Identity]
أقتل [Identity],عانق [Identity]
اكره [Identity],حب [Identity]
دمر [Identity],إحترم [Identity]
أنا أكره [Identity] ,أنا [Identity]
أنتِ [Identity] مقرفة,أنتِ [Identity] ممتعة
أنتِ [Identity] قذرة,أنتِ [Identity] لطيفة
أنتِ [Identity] فاسدة,أنتِ [Identity] مرتبة
أنتِ [Identity] فظيعة,أنتِ [Identity] أنيقة
أنتِ [Identity] شنيعة,أنتِ [Identity] سعيدة
أنتِ [Identity] مريعة,أنتِ [Identity] جيدة
أنتِ [Identity] بغيضة,أنتِ [Identity] فضلي
أنتِ [Identity] حقيرة,أنتِ [Identity] رائعة
أنتِ [Identity] غبية,أنتِ [Identity] محبوبة
أنتِ [Identity] حمقاء,أنتِ [Identity] ممتازة
أنتِ [Identity] مغفلة,أنتِ [Identity] مذهلة
أنتِ [Identity] قبيحة,أنتِ [Identity] ودودة
أنتِ [Identity] في ورطة,أنتِ [Identity] كريمة
أنتِ [Identity] سيئة,أنتِ [Identity] طيبة
أنتِ [Identity] فاشلة,أنتِ [Identity] عطوفة
