model,language,gender,percent
bloom-7b1,en-uk,nonbinary,28.15766806722689
Llama-3.1-8B,en-uk,nonbinary,27.8130874572051
bloom-7b1,en-us,nonbinary,27.592561590608465
bloom-7b1,en-uk,male,26.959611992945323
Llama-3.1-8B,en-us,nonbinary,26.619543650793652
bloom-7b1,en-uk,female,26.297906940553997
aya-expanse-8b,en-uk,nonbinary,26.048651960784312
bloom-7b1,en-us,male,26.011109044312168
bloom-7b1,en-us,female,26.011109044312168
aya-expanse-8b,en-us,nonbinary,25.799206349206347
Llama-3.1-8B,en-uk,male,24.81829805996472
Llama-3.1-8B,en-uk,female,23.51399198568316
Llama-3.1-8B,en-us,male,23.002810846560845
Llama-3.1-8B,en-us,female,23.002810846560845
aya-expanse-8b,en-uk,male,22.976984126984124
aya-expanse-8b,en-us,female,22.354428176123577
aya-expanse-8b,en-uk,female,21.946673669467785
bloom-7b1,ar-eg,male,12.299976258309586
bloom-7b1,ar,female,11.792592592592591
bloom-7b1,ar-eg,female,11.512642450142444
bloom-7b1,ar-eg,nonbinary,11.469907407407403
bloom-7b1,ar,male,11.160185185185181
bloom-7b1,ar,nonbinary,10.573148148148142
flan-t5-base,en-uk,nonbinary,7.593158652349825
aya-expanse-8b,ar-eg,female,6.968482905982901
aya-expanse-8b,ar-eg,male,6.89992877492877
flan-t5-base,en-us,nonbinary,6.8258101851851825
Llama-3.1-8B,ar,male,6.630555555555549
Llama-3.1-8B,ar-eg,nonbinary,6.603751187084516
aya-expanse-8b,ar-eg,nonbinary,6.487416904083564
Llama-3.1-8B,ar,nonbinary,6.296296296296292
flan-t5-base,en-us,female,6.178240740740739
aya-expanse-8b,ar,nonbinary,6.175925925925922
Llama-3.1-8B,ar,female,5.958333333333328
flan-t5-base,en-uk,female,5.8689114534702735
flan-t5-base,en-us,male,5.64615368716931
AceGPT-13B,ar-eg,male,5.641322412155741
aya-expanse-8b,ar,male,5.424999999999997
aya-expanse-8b,ar,female,5.08518518518518
flan-t5-base,en-uk,male,4.835537918871251
AceGPT-13B,ar-eg,nonbinary,4.749228395061724
AceGPT-13B,ar-eg,female,4.373812915479577
Llama-3.1-8B,ar-eg,male,4.299026590693252
AceGPT-13B,ar,male,4.286111111111106
Llama-3.1-8B,ar-eg,female,4.2224596391263
AceGPT-13B,ar,nonbinary,3.918518518518514
AceGPT-13B,ar,female,3.7851851851851803
Llama-3.1-8B,de,nonbinary,3.7420989229024935
LLaMmlein_1B,de,male,3.6935586734693864
Llama-3.1-8B,de,female,3.138357426303854
LLaMmlein_1B,de,nonbinary,3.0145620748299318
leo-mistral-hessianai-7b-chat,de,nonbinary,2.6826459750566882
LLaMmlein_1B,de,female,2.6709183673469385
Llama-3.1-8B,de,male,2.6541950113378667
leo-mistral-hessianai-7b-chat,de,male,2.073554421768707
bloom-7b1,de,male,2.0562287414965965
leo-mistral-hessianai-7b-chat,de,female,1.9653132086167793
flan-t5-base,de,nonbinary,1.740079365079365
flan-t5-base,de,male,1.6517502834467106
bloom-7b1,de,female,1.3042091836734686
flan-t5-base,de,female,0.9196074263038535
bloom-7b1,de,nonbinary,0.81455498866213
gpt-4,en-us,nonbinary,0.80138062169312
gpt-4,ar-eg,male,0.6612060778727424
gpt-4,en-uk,nonbinary,0.6225470743853059
gpt-4,ar-eg,female,0.5401234567901216
gpt-4,en-us,female,0.39964657738095166
gpt-4,en-uk,female,0.37683434484904665
gpt-4,ar-eg,nonbinary,0.3757122507122483
gpt-4,en-us,male,0.36423059964726334
gpt-4,ar,female,0.319444444444443
gpt-4,en-uk,male,0.30965608465608113
gpt-4,ar,male,0.196296296296294
flan-t5-base,ar-eg,nonbinary,0.09259259259259249
gpt-4,ar,nonbinary,0.088888888888888
flan-t5-base,ar,nonbinary,0.069444444444443
gpt-4,de,male,0.025510204081632144
gpt-4,de,nonbinary,0.022321428571428572
flan-t5-base,ar-eg,female,0.015432098765431668
flan-t5-base,ar,female,0.014814814814814
flan-t5-base,ar,male,0.007407407407407
gpt-4,de,female,0.0
flan-t5-base,ar-eg,male,0.0
